JAPANESE WORD,JAPANESE WORD WITH KANA,ENGLISH WORD,PART OF SPEECH,SYNONYM,PHONETICS,SENTENCE ID,JAPANESE SENTENCE,JAPANESE HIGHLIGHT,JAPANESE SENTENCE WITH KANA,ENGLISH SENTENCE,ENGLISH SENTENCE WITH CLOZE,ENGLISH AUDIO FILE
遅延,遅延(ちえん),delay,Noun,,dɪˈleɪ,083,昨日の夜、システムに遅延が発生しました。,遅延,昨日(きのう)の夜(よる)、システムに遅延(ちえん)が発生(はっせい)しました。,"A system delay happened last night. ","A system d{{elay}} happened last night. ",
作業をする,作業(さぎょう)をする,"work ",Verb,,"wɜrk ",084,明日、バージョンアップする作業をします。,作業をし,明日(あした)、バージョンアップする作業(さぎょう)をします。,I'll work on updating this tomorrow.,I'll w{{ork}} on updating this tomorrow.,
担当する,担当(たんとう)する,be responsible for,Verb,be in charge of,bi riˈspɑnsəbəl fɔr,085,この業務は、どこのチームが担当してるか知ってる？,担当し,この業務(ぎょうむ)は、どこのチームが担当(たんとう)してるか知(し)ってる？,Do you know which team is responsible for this work?,Do you know which team is r{{esponsible}} {{for}} this work?,
追加する,追加(ついか)する,add,Verb,,æd,086,話したいトピックがある人は、議事録に追加しておいてくださいね。,追加し,話(はな)したいトピックがある人(ひと)は、議事録(ぎじろく)に追加(ついか)しておいてくださいね。,Please add the topics you want to talk about to the notes.,Please a{{dd}} the topics you want to talk about to the notes.,
提案する,提案(ていあん)する,suggest,Verb,propose,səgˈʤɛst,087,何か提案がある人は、明日までに私にDMしてください。,提案,何(なに)か提案(ていあん)がある人は、明日(あした)までに私(わたし)にDMしてください。,"If you want to suggest anything, please DM me by tomorrow.","If you want to s{{uggest}} anything, please DM me by tomorrow.",
導入する,導入(どうにゅう)する,implement,Verb,,ˈɪmpləmənt,088,新しいサービスを導入する時期はまだ決まってません。,導入する,新(あたら)しいサービスを導入(どうにゅう)する時期(じき)はまだ決(き)まってません。,The timing of implementing the new service hasn't been decided yet.,The timing of i{{mplementing}} the new service hasn't been decided yet.,
落ちる,落(お)ちる,go down,Verb,drop,goʊ daʊn,089,夜中にアクセスが集中して、サービスが一時的に落ちました。,落ち,夜中(よなか)にアクセスが集中(しゅうちゅう)して、サービスが一時的(いちじてき)に落(お)ちました。,The service went down temporarily late last night because of a spike in access.,The service {{went}} d{{own}} temporarily late last night because of a spike in access.,
移動する,移動(いどう)する,move,Verb,shift,muv,090,今Q対応しないチケットは、次のSprintに移動しておきます。,移動し,今Q(こんきゅう)対応(たいおう)しないチケットは、次(つぎ)のSprintに移動(いどう)しておきます。,Tickets that we won't deal with this Q will be moved to the next sprint.,Tickets that we won't deal with this Q will be m{{oved}} to the next sprint.,
スケジュールが被ること,スケジュールが被(かぶ)ること,schedule conflict,Noun,,ˈskɛʤʊl ˈkɑnflɪkt,091,すみません、他のミーティングと被ってるので、明日のスタンドアップミーティングに参加できません。,被っ,すみません、他(ほか)のミーティングと被(かぶ)ってるので、明日のスタンドアップミーティングに参加(さんか)できません。,"Sorry, I can't join tomorrow's stand up because of a schedule conflict.","Sorry, I can't join tomorrow's stand up because of a s{{chedule}} {{conflict}}.",
ミーティングを抜ける,ミーティングを抜(ぬ)ける,leave the meeting,Verb,,liv ðə ˈmitɪŋ,092,"【状況：ミーティングに出席中】すみません、次のミーティングがあるので、先に抜けますね。",抜け,"【状況(じょうきょう)：ミーティングに出席中(しゅっせきちゅう)】すみません、次のミーティングがあるので、先(さき)に抜(ぬ)けますね。","[Situation: In a meeting] Sorry, I need to leave now because I have another meeting.","[Situation: In a meeting] Sorry, I need to l{{eave}} now because I have another meeting.",
けっこう,けっこう,quite,Adverb,,kwaɪt,093,来月はけっこう忙しくなると思うので、みなさん、今のうちにゆっくり休んでくださいね。,けっこう,来月(らいげつ)はけっこう忙(いそが)しくなると思うので、みなさん、今のうちにゆっくり休(やす)んでくださいね。,Please take it easy now since we're going to be quite busy next month.,Please take it easy now since we're going to be q{{uite}} busy next month.,
ギリギリ,ギリギリ,barely,Adverb,at the last moment,ˈbɛrli,094,このチケットは、ギリギリになりそうですが、締切までに終わると思います。,ギリギリ,このチケットは、ギリギリになりそうですが、締切(しめきり)までに終(お)わると思います。,"It'll be really tight, but I think I'll just barely get the ticket done by the deadline.","It'll be really tight, but I think I'll just b{{arely}} get the ticket done by the deadline.",
基本的に,基本的(きほんてき)に,basically,Adverb,,ˈbeɪsɪkli,095,基本的に、来Qのみなさんのアサインは、今Qと変更ありません。,基本的に,基本的(きほんてき)に、来Q(らいきゅう)のみなさんのアサインは、今Q(こんきゅう)と変更(へんこう)ありません。,"Basically, everyone's assignments won't change much from this Q to next Q.","B{{asically}}, everyone's assignments won't change much from this Q to next Q.",
ちなみに,ちなみに,also,Adverb,in addition,ˈɔlsoʊ,096,ちなみに、いつぐらいまでにリリースの時期が決まるか、わかりますか。,ちなみに,ちなみに、いつぐらいまでにリリースの時期(じき)が決(き)まるか、わかりますか。,"Also, do you know when the release period will be decided? Approximately?","A{{lso}}, do you know when the release period will be decided? Approximately?",
視点,視点(してん),point of view,Noun,,pɔɪnt ʌv vju,097,お客様視点で考えてみて。,視点,お客様(きゃくさま)視点(してん)で考(かんが)えてみて。,Think about it from the customer's point of view.,Think about it from the customer's p{{oint}} {{of}} {{view}}.,
