JAPANESE WORD,JAPANESE WORD WITH KANA,ENGLISH WORD,PART OF WORD,SYNONYM,PHONETICS,SENTENCE ID,JAPANESE SENTENCE,JAPANESE HIGHLIGHT,JAPANESE SENTENCE WITH KANA,ENGLISH SENTENCE,ENGLISH SENTENCE WITH CLOZE,ENGLISH AUDIO FILE
進捗確認,進捗確認(しんちょくかくにん),progress check,Noun,,ˈprɑˌgrɛs ʧɛk,037,まずは、進捗確認をしましょう。,進捗確認,まずは、進捗確認(しんちょくかくにん)をしましょう。,Let's start with a progress check.,Let's start with a p{{rogress}} c{{heck}}.,
優先順位,優先順位(ゆうせんじゅんい),priority,Noun,,praɪˈɔrəti,038,優先順位を決めたほうがいいと思います。,優先順位,優先順位(ゆうせんじゅんい)を決(き)めたほうがいいと思(おも)います。,I think we should decide the priority.,I think we should decide the p{{riority}}.,
残って,残(のこ)って,left,Adjective,,lɛft,039,残っているチケットはありますか。,残っ,残(のこ)っているチケットはありますか。,Are there any tickets left?,Are there any tickets l{{eft}}?,
着手する,着手(ちゃくしゅ)する,initiate,Verb,,ɪˈnɪʃiɪt,040,それって、もう着手してますか？,着手し,それって、もう着手(ちゃくしゅ)してますか？,"Have you already initiated it? ","Have you already i{{nitiated}} it? ",
調整する,調整(ちょうせい)する,adjust,Verb,,əˈʤʌst,041,最近忙しすぎるので、タスクの量を調整したほうがいいいと思っています。,調整し,最近(さいきん)忙(いそが)しすぎるので、タスクの量(りょう)を調整(ちょうせい)したほうがいいいと思(おも)っています。,I'm thinking I should adjust my workload because I've been too busy these days.,I'm thinking I should a{{djust}} my workload because I've been too busy these days.,
認識が合う,認識(にんしき)が合う,on the same page,Adjective,,ɑn ðə seɪm peɪʤ,042,全員で認識を合わせたいです。,認識,全員(ぜんいん)で認識(にんしき)を合(あ)わせたいです。,I'd like to make sure everyone's on the same page.,I'd like to make sure everyone's o{{n}} the s{{ame}} {{page}}.,
認識のずれ,認識のずれ,misunderstanding,Noun,,ˌmɪsəndərˈstændɪŋ,043,認識がずれてないか確認したいです。,認識がずれ,認識(にんしき)がずれてないか確認(かくにん)したいです。,I'd like to make sure there's no misunderstanding between us.,I'd like to make sure there's no m{{isunderstanding}} between us.,
変更する,変更(へんこう)する,change,Verb,,ʧeɪnʤ,044,スケジュールが変更しています。,変更し,スケジュールが変更(へんこう)しています。,The schedule has been changed.,The schedule has been c{{hanged}}.,
開始する,開始(かいし)する,start,Verb,,stɑrt,045,来週からキャンペーンが開始します。,開始し,来週(らいしゅう)からキャンペーンが開始(かいし)します。,We will start a campaign next week.,We will s{{tart}} a campaign next week.,
前倒しする,前倒(まえだお)しする,move up,Verb,,muv ʌp,046,このプロジェクトは、前倒しで進めましょう,前倒し,このプロジェクトは、前倒(まえだお)しで進(す)めましょう。,Let's move up this project. (Ex: from next qtr to this qtr),Let's m{{ove}} {{up}} this project. (Ex: from next qtr to this qtr),
以降,以降(いこう),sometime after,Noun,,ˈsʌmˌtaɪm ˈæftər,047,コードレビューは、来週以降の予定です,以降,コードレビューは、来週(らいしゅう)以降(いこう)の予定(よてい)です。,We're planning to do a code review sometime after next week.,We're planning to do a code review s{{ometime}} {{after}} next week.,
